PersonID,Age,Sex,RuralStatus
10131181,16 or 17 years old,Male,Large Metro
10133090,65 years old or older,Female,Small metro
10133091,Between 35 and 49 years old,Female,Large Metro
10133796,Between 18 and 20 years old,Male,Large Metro
10134834,Between 26 and 29 years old,Female,Nonmetro
10136191,14 or 15 years old,Female,Large Metro
10136241,Between 35 and 49 years old,Female,Large Metro
10136791,Between 35 and 49 years old,Male,Nonmetro
10136828,12 or 13 years old,Female,Large Metro
10137550,Between 18 and 20 years old,Male,Small metro
10137574,Between 21 and 23 years old,Male,Small metro
10137980,Between 35 and 49 years old,Female,Large Metro
10141248,Between 30 and 34 years old,Female,Small metro
10142983,12 or 13 years old,Female,Small metro
10143599,12 or 13 years old,Male,Large Metro
10143729,Between 21 and 23 years old,Female,Large Metro
10143734,12 or 13 years old,Female,Small metro
10144213,Between 21 and 23 years old,Male,Large Metro
10144289,65 years old or older,Female,Small metro
10144314,Between 21 and 23 years old,Female,Small metro
10144401,Between 35 and 49 years old,Male,Nonmetro
10144489,Between 21 and 23 years old,Male,Small metro
10144780,24 or 25 years old,Female,Small metro
10145265,Between 35 and 49 years old,Male,Large Metro
10146198,14 or 15 years old,Male,Large Metro
10146288,Between 50 and 64 years old,Male,Large Metro
10146717,Between 35 and 49 years old,Male,Large Metro
10147270,Between 35 and 49 years old,Female,Nonmetro
10150530,14 or 15 years old,Male,Small metro
10150758,Between 35 and 49 years old,Female,Small metro
10153083,Between 21 and 23 years old,Female,Large Metro
10153905,Between 30 and 34 years old,Female,Large Metro
10154277,24 or 25 years old,Male,Large Metro
10156811,Between 21 and 23 years old,Female,Small metro
10157730,Between 26 and 29 years old,Male,Large Metro
10158199,14 or 15 years old,Male,Small metro
10159473,12 or 13 years old,Female,Nonmetro
10159728,Between 26 and 29 years old,Female,Large Metro
10159888,14 or 15 years old,Female,Nonmetro
10160450,65 years old or older,Female,Nonmetro
10160789,Between 21 and 23 years old,Male,Small metro
10160907,Between 26 and 29 years old,Female,Small metro
10162140,Between 50 and 64 years old,Female,Large Metro
10162342,24 or 25 years old,Female,Small metro
10163285,Between 18 and 20 years old,Male,Nonmetro
10163771,16 or 17 years old,Male,Small metro
10163955,Between 18 and 20 years old,Male,Small metro
10164438,14 or 15 years old,Male,Small metro
10164513,Between 35 and 49 years old,Male,Large Metro
10164656,Between 50 and 64 years old,Female,Small metro
